CODMUNRES_str,TOTAL_REGISTROS,STATUS_VALIDACAO,NOME_MUNICIPIO_IBGE
292230,204,Correspondência Exata,Muritiba
350660,203,Correspondência Exata,Biritiba Mirim
354770,203,Correspondência Exata,Santo Anastácio
420280,202,Correspondência Exata,Braço Do Norte
292500,202,Correspondência Exata,Planalto
352040,202,Correspondência Exata,Ilhabela
291350,201,Correspondência Exata,Iguaí
352000,200,Correspondência Exata,Igaraçu Do Tietê
290710,200,Correspondência Exata,Carinhanha
290990,200,Correspondência Exata,Curaçá
292250,199,Correspondência Exata,Nazaré
354000,199,Correspondência Exata,Pompéia
291190,199,Correspondência Exata,Iaçu
354630,198,Correspondência Exata,Santa Cruz Das Palmeiras
292290,197,Correspondência Exata,Nova Soure
291060,197,Correspondência Exata,Esplanada
352100,197,Correspondência Exata,Iperó
291210,197,Correspondência Exata,Ibicaraí
350220,196,Correspondência Exata,Angatuba
291290,196,Correspondência Exata,Ibirataia
353140,194,Correspondência Exata,Monte Aprazível
292050,192,Correspondência Exata,Maracás
291915,192,Correspondência Exata,Lapão
350790,191,Correspondência Exata,Brotas
420880,191,Correspondência Exata,Jaguaruna
292310,190,Correspondência Exata,Olindina
292440,190,Correspondência Exata,Pilão Arcado
355330,189,Correspondência Exata,Tambaú
292200,189,Correspondência Exata,Mucuri
421770,189,Correspondência Exata,Sombrio
291550,187,Correspondência Exata,Itajuípe
350870,187,Correspondência Exata,Caconde
292820,186,Correspondência Exata,Santana
354400,186,Correspondência Exata,Rio Das Pedras
350270,186,Correspondência Exata,Apiaí
353190,185,Correspondência Exata,Morro Agudo
421650,185,Correspondência Exata,São Joaquim
420900,185,Correspondência Exata,Joaçaba
351140,184,Correspondência Exata,Cerqueira César
292370,183,Correspondência Exata,Paratinga
292240,183,Correspondência Exata,Mutuípe
350050,183,Correspondência Exata,Águas De Lindóia
292580,183,Correspondência Exata,Queimadas
421280,182,Correspondência Exata,Balneário Piçarras
290470,181,Correspondência Exata,Buerarema
351360,181,Correspondência Exata,Cunha
290560,180,Correspondência Exata,Camacan
290410,179,Correspondência Exata,Boquira
350925,178,Correspondência Exata,Cajati
293077,177,Correspondência Exata,Sobradinho
292430,177,Correspondência Exata,Piatã
292840,177,Correspondência Exata,Santa Rita De Cássia
355630,175,Correspondência Exata,Valparaíso
353530,175,Correspondência Exata,Palmital
290620,175,Correspondência Exata,Canarana
292770,173,Correspondência Exata,Santa Cruz Cabrália
420845,173,Correspondência Exata,Itapoá
293200,171,Correspondência Exata,Uauá
293300,171,Correspondência Exata,Valente
355510,170,Correspondência Exata,Tupi Paulista
421170,170,Correspondência Exata,Orleans
354240,170,Correspondência Exata,Regente Feijó
291580,170,Correspondência Exata,Itambé
353240,170,Correspondência Exata,Nazaré Paulista
421630,170,Correspondência Exata,São João Batista
420545,169,Correspondência Exata,Forquilhinha
351230,169,Correspondência Exata,Conchas
350100,168,Correspondência Exata,Altinópolis
292595,168,Correspondência Exata,Rafael Jambeiro
293270,167,Correspondência Exata,Uruçuca
290500,166,Correspondência Exata,Caculé
290340,166,Correspondência Exata,Belmonte
355430,166,Correspondência Exata,Teodoro Sampaio
290110,164,Correspondência Exata,Amélia Rodrigues
293020,164,Correspondência Exata,Sento Sé
351760,164,Correspondência Exata,Guapiara
290350,164,Correspondência Exata,Belo Campo
290120,164,Correspondência Exata,Anagé
290080,164,Correspondência Exata,Alcobaça
420570,163,Correspondência Exata,Garopaba
421050,163,Correspondência Exata,Maravilha
291320,163,Correspondência Exata,Ibotirama
351200,162,Correspondência Exata,Colina
353150,162,Correspondência Exata,Monte Azul Paulista
290890,162,Correspondência Exata,Coração De Maria
291720,161,Correspondência Exata,Ituaçu
292360,161,Correspondência Exata,Paramirim
350580,161,Correspondência Exata,Bastos
350800,161,Correspondência Exata,Buri
352610,160,Correspondência Exata,Juquiá
351100,160,Correspondência Exata,Castilho
292890,160,Correspondência Exata,São Desidério
293180,159,Correspondência Exata,Tremedal
420810,159,Correspondência Exata,Itaiópolis
421350,159,Correspondência Exata,Porto Belo
350780,159,Correspondência Exata,Brodowski
293220,158,Correspondência Exata,Ubaitaba
351030,157,Correspondência Exata,Capela Do Alto
420850,157,Correspondência Exata,Ituporanga
351160,157,Correspondência Exata,Cesário Lange
292590,157,Correspondência Exata,Quijingue
350810,157,Correspondência Exata,Buritama
293040,156,Correspondência Exata,Serra Preta
352350,156,Correspondência Exata,Itatinga
352140,154,Correspondência Exata,Iracemápolis
291880,154,Correspondência Exata,Laje
354120,154,Correspondência Exata,Presidente Bernardes
354800,154,Correspondência Exata,Santo Antônio De Posse
290820,153,Correspondência Exata,Conceição Da Feira
352170,152,Correspondência Exata,Itaberá
291440,152,Correspondência Exata,Iraquara
291835,151,Correspondência Exata,João Dourado
420670,151,Correspondência Exata,Herval D'oeste
292480,151,Correspondência Exata,Piritiba
290930,150,Correspondência Exata,Correntina
290590,150,Correspondência Exata,Campo Alegre De Lourdes
290280,150,Correspondência Exata,Barra Da Estiva
291710,150,Correspondência Exata,Itororó
354425,150,Correspondência Exata,Rosana
293250,149,Correspondência Exata,Una
292460,148,Correspondência Exata,Pindobaçu
354075,148,Correspondência Exata,Potim
421220,148,Correspondência Exata,Papanduva
292750,148,Correspondência Exata,Santa Bárbara
293230,147,Correspondência Exata,Ubatã
290870,147,Correspondência Exata,Condeúba
291270,147,Correspondência Exata,Ibirapitanga
351240,146,Correspondência Exata,Cordeirópolis
353810,146,Correspondência Exata,Pindorama
355680,146,Correspondência Exata,Viradouro
421830,145,Correspondência Exata,Três Barras
350710,145,Correspondência Exata,Bom Jesus Dos Perdões
420395,145,Correspondência Exata,Capivari De Baixo
292380,144,Correspondência Exata,Paripiranga
353620,144,Correspondência Exata,Pariquera-Açu
354560,144,Correspondência Exata,Santa Adélia
291040,143,Correspondência Exata,Encruzilhada
351750,143,Correspondência Exata,Guapiaçu
353300,143,Correspondência Exata,Nova Granada
420207,142,Correspondência Exata,Balneário Gaivota
352970,142,Correspondência Exata,Miguelópolis
291650,142,Correspondência Exata,Itapicuru
291610,142,Correspondência Exata,Itaparica
293100,141,Correspondência Exata,Tanhaçu
291160,141,Correspondência Exata,Governador Mangabeira
353560,141,Correspondência Exata,Paraibuna
291730,141,Correspondência Exata,Ituberá
420690,141,Correspondência Exata,Ibirama
292010,140,Correspondência Exata,Mairi
355090,140,Correspondência Exata,São Simão
420390,140,Correspondência Exata,Capinzal
351540,140,Correspondência Exata,Fartura
291600,140,Correspondência Exata,Itanhém
291085,139,Correspondência Exata,Filadélfia
290260,139,Correspondência Exata,Baixa Grande
353540,138,Correspondência Exata,Panorama
352290,137,Correspondência Exata,Itapuí
350460,136,Correspondência Exata,Bady Bassitt
421210,136,Correspondência Exata,Palmitos
354080,136,Correspondência Exata,Potirendaba
292910,135,Correspondência Exata,São Felipe
421900,135,Correspondência Exata,Urussanga
354300,135,Correspondência Exata,Ribeirão Branco
420960,135,Correspondência Exata,Lauro Müller
351770,135,Correspondência Exata,Guará
355600,135,Correspondência Exata,Urupês
420195,134,Correspondência Exata,Balneário Arroio Do Silva
354500,134,Correspondência Exata,Salesópolis
353490,134,Correspondência Exata,Pacaembu
353820,134,Correspondência Exata,Pinhalzinho
292620,133,Correspondência Exata,Riachão Das Neves
355270,133,Correspondência Exata,Tabatinga
292210,133,Correspondência Exata,Mundo Novo
353020,133,Correspondência Exata,Mirante Do Paranapanema
293105,133,Correspondência Exata,Tanque Novo
350420,132,Correspondência Exata,Auriflama
350740,132,Correspondência Exata,Borborema
291490,132,Correspondência Exata,Itacaré
352550,132,Correspondência Exata,Joanópolis
292575,132,Correspondência Exata,Presidente Tancredo Neves
420450,131,Correspondência Exata,Corupá
421780,131,Correspondência Exata,Taió
292960,131,Correspondência Exata,Sapeaçu
291310,130,Correspondência Exata,Ibititá
352990,130,Correspondência Exata,Miracatu
290380,130,Correspondência Exata,Boa Vista Do Tupim
291970,129,Correspondência Exata,Macarani
350275,128,Correspondência Exata,Araçariguama
421400,128,Correspondência Exata,Presidente Getúlio
351070,126,Correspondência Exata,Cardoso
351390,126,Correspondência Exata,Divinolândia
350880,126,Correspondência Exata,Cafelândia
293350,125,Correspondência Exata,Wenceslau Guimarães
291180,125,Correspondência Exata,Guaratinga
290115,125,Correspondência Exata,América Dourada
422000,124,Correspondência Exata,Balneário Rincão
290860,124,Correspondência Exata,Conde
352042,124,Correspondência Exata,Ilha Comprida
352280,124,Correspondência Exata,Itaporanga
292925,123,Correspondência Exata,São Gabriel
290360,123,Correspondência Exata,Biritinga
291740,123,Correspondência Exata,Jacaraci
351600,123,Correspondência Exata,Flórida Paulista
290830,123,Correspondência Exata,Conceição Do Almeida
353580,123,Correspondência Exata,Paranapanema
290790,122,Correspondência Exata,Cipó
353700,121,Correspondência Exata,Pedregulho
291250,121,Correspondência Exata,Ibipitanga
352880,121,Correspondência Exata,Maracaí
290190,121,Correspondência Exata,Aporá
354670,120,Correspondência Exata,Santa Gertrudes
421290,120,Correspondência Exata,Pinhalzinho
290760,119,Correspondência Exata,Central
291110,119,Correspondência Exata,Formosa Do Rio Preto
292340,119,Correspondência Exata,Palmas De Monte Alto
291230,119,Correspondência Exata,Ibicuí
293280,119,Correspondência Exata,Utinga
352330,119,Correspondência Exata,Itariri
353630,118,Correspondência Exata,Patrocínio Paulista
