Dimensao,UF,Categoria,Frequencia_Absoluta,Proporcao_Percentual
Causa_Morte,SANTA CATARINA,Hérnias,92,0.2
Causa_Morte,SANTA CATARINA,Infecções agudas das vias aéreas superiores,23,0.05
Causa_Morte,SANTA CATARINA,Infecções da pele e do tecido subcutâneo,101,0.22
Causa_Morte,SANTA CATARINA,Infecções de transmissão predominantemente sexual,10,0.02
Causa_Morte,SANTA CATARINA,Infecções específicas do período perinatal,80,0.17
Causa_Morte,SANTA CATARINA,Infecções virais caracterizadas por lesões de pele e mucosas,14,0.03
Causa_Morte,SANTA CATARINA,Infecções virais do sistema nervoso central,18,0.04
Causa_Morte,SANTA CATARINA,Influenza [gripe] e pneumonia,2177,4.66
Causa_Morte,SANTA CATARINA,Insuficiência renal,555,1.19
Causa_Morte,SANTA CATARINA,Intervenções legais e operações de guerra,38,0.08
Causa_Morte,SANTA CATARINA,Lesões autoprovocadas intencionalmente,918,1.96
Causa_Morte,SANTA CATARINA,Malformações congênitas do aparelho circulatório,129,0.28
Causa_Morte,SANTA CATARINA,Malformações congênitas do aparelho respiratório,21,0.04
Causa_Morte,SANTA CATARINA,Malformações congênitas do aparelho urinário,19,0.04
Causa_Morte,SANTA CATARINA,Malformações congênitas do sistema nervoso,50,0.11
Causa_Morte,SANTA CATARINA,Malformações congênitas dos órgãos genitais,1,0.0
Causa_Morte,SANTA CATARINA,Malformações e deformidades congênitas do sistema osteomuscular,29,0.06
Causa_Morte,SANTA CATARINA,Micoses,25,0.05
Causa_Morte,SANTA CATARINA,Neoplasias [tumores] benignas(os),19,0.04
Causa_Morte,SANTA CATARINA,Neoplasias [tumores] de comportamento incerto ou desconhecido,115,0.25
Causa_Morte,SANTA CATARINA,Neoplasias [tumores] in situ,9,0.02
Causa_Morte,SANTA CATARINA,Neoplasias [tumores] malignas(os),10043,21.48
Causa_Morte,SANTA CATARINA,Obesidade e outras formas de hiperalimentação,133,0.28
Causa_Morte,SANTA CATARINA,Osteopatias e condropatias,35,0.07
Causa_Morte,SANTA CATARINA,Outras afecções da pele e do tecido subcutâneo,94,0.2
Causa_Morte,SANTA CATARINA,Outras afecções obstétricas não classificadas em outra parte,24,0.05
Causa_Morte,SANTA CATARINA,Outras deficiências nutricionais,7,0.01
Causa_Morte,SANTA CATARINA,Outras doenças bacterianas,739,1.58
Causa_Morte,SANTA CATARINA,Outras doenças da pleura,35,0.07
Causa_Morte,SANTA CATARINA,Outras doenças das vias aéreas superiores,14,0.03
Causa_Morte,SANTA CATARINA,Outras doenças degenerativas do sistema nervoso,1190,2.55
Causa_Morte,SANTA CATARINA,Outras doenças do aparelho digestivo,223,0.48
Causa_Morte,SANTA CATARINA,Outras doenças do aparelho respiratório,188,0.4
Causa_Morte,SANTA CATARINA,Outras doenças do aparelho urinário,862,1.84
Causa_Morte,SANTA CATARINA,Outras doenças do sangue e dos órgãos hematopoéticos,23,0.05
Causa_Morte,SANTA CATARINA,Outras doenças dos intestinos,490,1.05
Causa_Morte,SANTA CATARINA,Outras doenças infecciosas,1,0.0
Causa_Morte,SANTA CATARINA,Outras doenças por vírus,340,0.73
Causa_Morte,SANTA CATARINA,Outras doenças respiratórias que afetam principalmente o interstício,193,0.41
Causa_Morte,SANTA CATARINA,Outras formas de doença do coração,2411,5.16
Causa_Morte,SANTA CATARINA,Outras infecções agudas das vias aéreas inferiores,53,0.11
Causa_Morte,SANTA CATARINA,Outras malformações congênitas,54,0.12
