UF_Ocorrencia,Grupo_Causa,Quantidade
SANTA CATARINA,Doenças desmielinizantes do sistema nervoso central,27
SANTA CATARINA,"Esquizofrenia, transtornos esquizotípicos e transtornos delirantes",27
SANTA CATARINA,Transtornos do aparelho digestivo do feto ou do recém-nascido,27
SANTA CATARINA,Doenças glomerulares,25
SANTA CATARINA,Micoses,25
SANTA CATARINA,Outras afecções obstétricas não classificadas em outra parte,24
SANTA CATARINA,Infecções agudas das vias aéreas superiores,23
SANTA CATARINA,Outras doenças do sangue e dos órgãos hematopoéticos,23
SANTA CATARINA,Seqüelas de causas externas de morbidade e de mortalidade,23
SANTA CATARINA,Transtornos dos tecidos moles,23
SANTA CATARINA,Calculose renal,22
SANTA CATARINA,Doenças da junção mioneural e dos músculos,22
SANTA CATARINA,Malformações congênitas do aparelho respiratório,21
SANTA CATARINA,Transtornos hemorrágicos e hematológicos do feto e do recém-nascido,21
SANTA CATARINA,Afecções necróticas e supurativas das vias aéreas inferiores,20
SANTA CATARINA,Dorsopatias,20
SANTA CATARINA,Malformações congênitas do aparelho urinário,19
SANTA CATARINA,Neoplasias [tumores] benignas(os),19
SANTA CATARINA,Infecções virais do sistema nervoso central,18
SANTA CATARINA,Seqüelas de doenças infecciosas e parasitárias,18
SANTA CATARINA,Sintomas e sinais relativos ao aparelho digestivo e ao abdome,18
SANTA CATARINA,Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,18
SANTA CATARINA,Polineuropatias e outros transtornos do sistema nervoso periférico,17
SANTA CATARINA,Afecções comprometendo o tegumento e a regulação térmica do feto e do recém-nascido,16
SANTA CATARINA,Algumas doenças bacterianas zoonóticas,16
SANTA CATARINA,Outras malformações congênitas do aparelho digestivo,16
SANTA CATARINA,Anemias hemolíticas,15
SANTA CATARINA,Infecções virais caracterizadas por lesões de pele e mucosas,14
SANTA CATARINA,Outras doenças das vias aéreas superiores,14
SANTA CATARINA,Outros transtornos do rim e do ureter,14
SANTA CATARINA,Retardo mental,13
SANTA CATARINA,Alguns transtornos que comprometem o mecanismo imunitário,12
SANTA CATARINA,Outros transtornos da regulação da glicose e da secreção pancreática interna,12
SANTA CATARINA,Anemias nutricionais,11
SANTA CATARINA,Infecções de transmissão predominantemente sexual,10
SANTA CATARINA,Neoplasias [tumores] in situ,9
SANTA CATARINA,Afecções bolhosas,8
SANTA CATARINA,Doenças do ouvido médio e da mastóide,8
SANTA CATARINA,Doenças inflamatórias dos órgãos pélvicos femininos,7
SANTA CATARINA,Outras deficiências nutricionais,7
SANTA CATARINA,Transtornos de outras glândulas endócrinas,7
SANTA CATARINA,"Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes",5
SANTA CATARINA,Transtornos do desenvolvimento psicológico,5
SANTA CATARINA,Transtornos não-inflamatórios do trato genital feminino,4
SANTA CATARINA,Doenças devidas a protozoários,4
SANTA CATARINA,"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério",4
